Step,CONST1,CONST0,NXOR,XOR,OR,CIMPL,PROJX1,IMPL,PROJX2,AND,NAND,NOTX2,NIMPL,NOTX1,NCIMPL,NOR
89,0.997,1,0.4321,0.4952,0.932,0.9278,0.994,0.5616,0.959,0.9546,0.6172,0.9215,0.9193,0.6883,0.9808,0.9304
90,0.9965,1,0.4283,0.4914,0.9297,0.933,0.9934,0.5555,0.9565,0.9558,0.6196,0.9147,0.9271,0.6843,0.9829,0.9274
91,0.9971,1,0.4305,0.4888,0.9326,0.9353,0.9948,0.5575,0.9599,0.9546,0.6212,0.9212,0.929,0.6944,0.9827,0.9316
92,0.9966,1,0.4404,0.4859,0.9311,0.935,0.9954,0.5547,0.9597,0.957,0.6352,0.9143,0.9322,0.692,0.9817,0.9329
93,0.9965,1,0.4274,0.4899,0.9325,0.9326,0.9952,0.5559,0.9603,0.9574,0.6201,0.9195,0.938,0.693,0.982,0.9301
94,0.9963,1,0.4285,0.4931,0.9359,0.9296,0.9955,0.5609,0.9578,0.9607,0.6139,0.9146,0.9414,0.6963,0.9845,0.9279
95,0.997,1,0.4174,0.4938,0.9279,0.9305,0.9953,0.5632,0.9598,0.9583,0.6356,0.9174,0.9407,0.6948,0.9831,0.929
96,0.9963,1,0.4189,0.4855,0.9343,0.9326,0.9953,0.5616,0.9599,0.9596,0.6252,0.9175,0.941,0.6969,0.9842,0.934
97,0.9966,1,0.4187,0.4888,0.9328,0.9331,0.9958,0.5625,0.9571,0.9603,0.6353,0.9189,0.9477,0.6982,0.9839,0.9312
98,0.9965,1,0.4179,0.4821,0.9322,0.934,0.9966,0.5644,0.9577,0.9637,0.628,0.9143,0.9496,0.7017,0.9836,0.9325
99,0.9967,1,0.4157,0.5008,0.9354,0.9335,0.996,0.5642,0.9574,0.9603,0.6378,0.9182,0.9554,0.6963,0.9843,0.9314
100,0.9967,1,0.4188,0.4898,0.9353,0.9317,0.9968,0.5566,0.9585,0.9616,0.6292,0.9136,0.9551,0.703,0.9851,0.9309
101,0.9967,0.9999,0.4095,0.4846,0.9317,0.931,0.9958,0.5645,0.9569,0.9618,0.6328,0.9137,0.9555,0.7079,0.9848,0.928
102,0.9965,1,0.4205,0.4878,0.9341,0.9355,0.9965,0.5571,0.9572,0.9626,0.6329,0.9122,0.9588,0.7143,0.9864,0.9348
103,0.9967,1,0.4185,0.491,0.9344,0.9318,0.9955,0.5601,0.9572,0.9633,0.629,0.9184,0.9614,0.714,0.9877,0.9284
104,0.9969,1,0.4186,0.4799,0.9411,0.9335,0.9965,0.5593,0.9561,0.9623,0.6314,0.9109,0.963,0.7129,0.9875,0.9311
105,0.9968,1,0.4226,0.4854,0.9354,0.933,0.9974,0.5622,0.9557,0.9629,0.6408,0.9133,0.967,0.7129,0.9857,0.9258
106,0.9963,0.9999,0.4184,0.4858,0.9353,0.9331,0.9967,0.5542,0.9535,0.9628,0.6437,0.9082,0.9679,0.7216,0.9851,0.9308
107,0.9966,1,0.4248,0.4814,0.9394,0.9325,0.9978,0.5543,0.9532,0.9604,0.637,0.9158,0.9681,0.7143,0.9869,0.9328
108,0.9966,1,0.4134,0.4733,0.9357,0.9349,0.9971,0.5567,0.9526,0.9601,0.6452,0.9134,0.9705,0.7171,0.9871,0.9309
109,0.996,1,0.4144,0.4737,0.9385,0.9333,0.9963,0.5586,0.9524,0.9619,0.6404,0.9115,0.9736,0.7177,0.9852,0.9352
110,0.9965,1,0.4113,0.4864,0.9398,0.9362,0.9967,0.5535,0.9527,0.9605,0.6404,0.9162,0.9728,0.7224,0.9872,0.9278
111,0.9962,1,0.4131,0.4725,0.9398,0.9341,0.9967,0.5532,0.9495,0.9604,0.645,0.9114,0.9746,0.7228,0.9859,0.9283
112,0.9966,1,0.4163,0.4813,0.9376,0.937,0.9976,0.5574,0.9516,0.9573,0.6398,0.9102,0.9735,0.7246,0.9861,0.9308
113,0.9969,0.9999,0.4111,0.4816,0.9363,0.9351,0.9973,0.5565,0.9542,0.9552,0.638,0.916,0.9771,0.7326,0.9863,0.9269
114,0.9967,1,0.412,0.4857,0.9397,0.934,0.9971,0.5561,0.9499,0.959,0.6432,0.9078,0.977,0.7286,0.9881,0.9272
115,0.9964,0.9999,0.4096,0.4705,0.9442,0.9385,0.9977,0.5533,0.9532,0.9576,0.6425,0.9139,0.9794,0.7304,0.9866,0.9283
